,la,esperanto
sia,kunikla,esperanto
kunikla,voĉeto,esperanto
voĉeto,ellegi,esperanto
ellegi,la,esperanto
la,nomon,esperanto
nomon,alicio,esperanto
alicio,ĉapitro,esperanto
ĉapitro,xii,esperanto
xii,alicio,esperanto
alicio,atestanto,esperanto
atestanto,jen,esperanto
jen,mi,esperanto
mi,ekkriis,esperanto
ekkriis,alicio,esperanto
alicio,pro,esperanto
pro,la,esperanto
la,eksciteco,esperanto
eksciteco,sin,esperanto
sin,trovi,esperanto
trovi,alvokata,esperanto
alvokata,ŝi,esperanto
ŝi,tute,esperanto
tute,forgesis,esperanto
forgesis,ke,esperanto
ke,dum,esperanto
dum,la,esperanto
la,lastaj,esperanto
lastaj,minutoj,esperanto
minutoj,ŝi,esperanto
ŝi,tre,esperanto
tre,multe,esperanto
multe,kreskis,esperanto
kreskis,kaj,esperanto
kaj,tiel,esperanto
tiel,subite,esperanto
subite,ŝi,esperanto
ŝi,eksaltis,esperanto
eksaltis,supren,esperanto
supren,ke,esperanto
ke,ŝi,esperanto
ŝi,renversis,esperanto
renversis,per,esperanto
per,la,esperanto
la,jupo,esperanto
jupo,la,esperanto
la,ĵurintarujon,esperanto
ĵurintarujon,kaj,esperanto
kaj,faligis,esperanto
faligis,ĉiujn,esperanto
ĉiujn,ĵurintojn,esperanto
ĵurintojn,sur,esperanto
sur,la,esperanto
la,kapojn,esperanto
kapojn,de,esperanto
de,la,esperanto
la,sube,esperanto
sube,starantoj,esperanto
starantoj,jen,esperanto
jen,ili,esperanto
ili,kuŝis,esperanto
kuŝis,sur,esperanto
sur,la,esperanto
la,planko,esperanto
planko,kaj,esperanto
kaj,senhelpe,esperanto
senhelpe,baraktadis,esperanto
baraktadis,rememorigante,esperanto
rememorigante,al,esperanto
al,ŝi,esperanto
ŝi,kio,esperanto
kio,okazis,esperanto
okazis,en,esperanto
en,la,esperanto
la,hejmo,esperanto
hejmo,antaŭ,esperanto
antaŭ,unu,esperanto
unu,semajno,esperanto
semajno,kiam,esperanto
kiam,ŝi,esperanto
ŝi,akcidente,esperanto
akcidente,renversis,esperanto
renversis,el,esperanto
el,globo,esperanto
globo,aron,esperanto
aron,da,esperanto
da,ruĝaj,esperanto
ruĝaj,fiŝoj,esperanto
fiŝoj,ho,esperanto
ho,pardonu,esperanto
pardonu,mi,esperanto
mi,petegas,esperanto
petegas,ŝi,esperanto
ŝi,ekkriis,esperanto
ekkriis,tre,esperanto
tre,ĉagrenite,esperanto
ĉagrenite,kaj,esperanto
kaj,komencis,esperanto
komencis,kiel,esperanto
kiel,eble,esperanto
eble,plej,esperanto
plej,rapide,esperanto
rapide,relevi,esperanto
relevi,ilin,esperanto
ilin,la,esperanto
la,ĵus,esperanto
ĵus,aludita,esperanto
aludita,akcidento,esperanto
akcidento,ja,esperanto
ja,venigis,esperanto
venigis,en,esperanto
en,ŝian,esperanto
ŝian,kapon,esperanto
kapon,la,esperanto
la,ideon,esperanto
ideon,ke,esperanto
ke,se,esperanto
se,ŝi,esperanto
ŝi,ne,esperanto
ne,sukcesos,esperanto
sukcesos,tuj,esperanto
tuj,kolekti,esperanto
kolekti,kaj,esperanto
kaj,residigi,esperanto
residigi,ilin,esperanto
ilin,ili,esperanto
ili,nepre,esperanto
nepre,mortos,esperanto
mortos,la,esperanto
la,proceson,esperanto
proceson,oni,esperanto
oni,ne,esperanto
ne,povas,esperanto
povas,daŭrigi,esperanto
daŭrigi,diris,esperanto
diris,la,esperanto
la,reĝo,esperanto
reĝo,per,esperanto
per,tre,esperanto
tre,serioza,esperanto
serioza,voĉo,esperanto
voĉo,ĝis,esperanto
ĝis,ĉiuj,esperanto
ĉiuj,ĵurintoj,esperanto
ĵurintoj,residiĝos—ĉiuj,esperanto
residiĝos—ĉiuj,ripetante,esperanto
ripetante,la,esperanto
la,lastan,esperanto
lastan,vorton,esperanto
vorton,li,esperanto
li,fikse,esperanto
fikse,rigardis,esperanto
rigardis,alicion,esperanto
alicion,alicio,esperanto
alicio,do,esperanto
do,rerigardis,esperanto
rerigardis,al,esperanto
al,la,esperanto
la,ĵurintarujo,esperanto
ĵurintarujo,kaj,esperanto
kaj,vidis,esperanto
vidis,ke,esperanto
ke,pro,esperanto
pro,sia,esperanto
sia,eksciteco,esperanto
eksciteco,ŝi,esperanto
ŝi,remetis,esperanto
remetis,la,esperanto
la,lacerton,esperanto
lacerton,kun,esperanto
kun,la,esperanto
la,kapo,esperanto
kapo,malsupren,esperanto
malsupren,pro,esperanto
pro,tio,esperanto
tio,la,esperanto
la,kompatinda,esperanto
kompatinda,besteto,esperanto
besteto,melankolie,esperanto
melankolie,svingadis,esperanto
svingadis,la,esperanto
la,voston,esperanto
voston,sed,esperanto
sed,tute,esperanto
tute,ne,esperanto
ne,povis,esperanto
povis,rektigi,esperanto
rektigi,sin,esperanto
sin,elpreninte,esperanto
elpreninte,ĝin,esperanto
ĝin,ŝi,esperanto
ŝi,restarigis,esperanto
restarigis,ĝin,esperanto
ĝin,konvene,esperanto
konvene,tamen,esperanto
tamen,private,esperanto
private,ŝi,esperanto
ŝi,opiniis,esperanto
opiniis,ke,esperanto
ke,sro,esperanto
sro,bil,esperanto
bil,havus,esperanto
havus,egale,esperanto
egale,saman,esperanto
saman,valoron,esperanto
valoron,en,esperanto
en,la,esperanto
la,proceso,esperanto
proceso,ĉu,esperanto
ĉu,li,esperanto
li,sidus,esperanto
sidus,renversite,esperanto
renversite,aŭ,esperanto
aŭ,kapsupre,esperanto
kapsupre,kiam,esperanto
kiam,la,esperanto
la,ĵurintoj,esperanto
ĵurintoj,iom,esperanto
iom,retrankviliĝis,esperanto
retrankviliĝis,post,esperanto
post,la,esperanto
la,renversiĝo,esperanto
renversiĝo,kaj,esperanto
kaj,oni,esperanto
oni,trovis,esperanto
trovis,kaj,esperanto
kaj,redonis,esperanto
redonis,al,esperanto
al,ili,esperanto
ili,la,esperanto
la,ardezojn,esperanto
ardezojn,kaj,esperanto
kaj,grifelojn,esperanto
grifelojn,ili,esperanto
ili,tuj,esperanto
tuj,komencis,esperanto
komencis,elskribi,esperanto
elskribi,plenan,esperanto
plenan,historion,esperanto
historion,de,esperanto
de,la,esperanto
la,akcidento,esperanto
akcidento,escepte,esperanto
escepte,nur,esperanto
nur,la,esperanto
la,lacerton,esperanto
lacerton,kiu,esperanto
kiu,pro,esperanto
pro,la,esperanto
la,terura,esperanto
terura,ŝoko,esperanto
ŝoko,sidis,esperanto
sidis,kun,esperanto
kun,la,esperanto
la,buŝo,esperanto
buŝo,malfermita,esperanto
malfermita,kaj,esperanto
kaj,rigardis,esperanto
rigardis,la,esperanto
la,plafonon,esperanto
plafonon,—kion,esperanto
—kion,vi,esperanto
vi,scias,esperanto
scias,pri,esperanto
pri,ĉi,esperanto
ĉi,tiu,esperanto
tiu,afero,esperanto
afero,la,esperanto
la,reĝo,esperanto
reĝo,demandis,esperanto
demandis,al,esperanto
al,alicio,esperanto
alicio,nenion,esperanto
nenion,ŝi,esperanto
ŝi,respondis,esperanto
respondis,nenion,esperanto
nenion,ajn,esperanto
ajn,persistis,esperanto
persistis,la,esperanto
la,reĝo,esperanto
reĝo,nenion,esperanto
nenion,ajn,esperanto
ajn,tio,esperanto
tio,estas,esperanto
estas,tre,esperanto
tre,grava,esperanto
grava,diris,esperanto
diris,la,esperanto
la,reĝo,esperanto
reĝo,turnante,esperanto
turnante,sin,esperanto
sin,al,esperanto
al,la,esperanto
la,ĵurintoj,esperanto
ĵurintoj,tiuj,esperanto
tiuj,ĵus,esperanto
ĵus,komencis,esperanto
komencis,skribi,esperanto
skribi,tion,esperanto
tion,sur,esperanto
sur,la,esperanto
la,ardezoj,esperanto
ardezoj,sed,esperanto
sed,la,esperanto
la,blanka,esperanto
blanka,kuniklo,esperanto
kuniklo,tre,esperanto
tre,sulkigis,esperanto
sulkigis,la,esperanto
la,brovojn,esperanto
brovojn,kaj,esperanto
kaj,faris,esperanto
faris,al,esperanto
al,la,esperanto
la,reĝo,esperanto
reĝo,malaproban,esperanto
malaproban,geston,esperanto
geston,dirante,esperanto
dirante,per,esperanto
per,tre,esperanto
tre,respekta,esperanto
respekta,voĉo,esperanto
voĉo,kompreneble,esperanto
kompreneble,via,esperanto
via,reĝa,esperanto
reĝa,moŝto,esperanto
moŝto,intencis,esperanto
intencis,diri,esperanto
diri,malgrava,esperanto
malgrava,malgrava,esperanto
malgrava,kompreneble,esperanto
kompreneble,la,esperanto
la,reĝo,esperanto
reĝo,diris,esperanto
diris,laŭte,esperanto
laŭte,tamen,esperanto
tamen,mallaŭtvoĉe,esperanto
mallaŭtvoĉe,li,esperanto
li,daŭre,esperanto
daŭre,diradis,esperanto
diradis,al,esperanto
al,si,esperanto
si,grava,esperanto
grava,malgrava,esperanto
malgrava,malgrava,esperanto
malgrava,grava,esperanto
grava,kvazaŭ,esperanto
kvazaŭ,li,esperanto
li,eksperimentas,esperanto
eksperimentas,kiu,esperanto
kiu,vorto,esperanto
vorto,havas,esperanto
havas,la,esperanto
la,pli,esperanto
pli,bonan,esperanto
bonan,sonon,esperanto
sonon,kelkaj,esperanto
kelkaj,ĵurintoj,esperanto
ĵurintoj,skribis,esperanto
skribis,grava,esperanto
grava,aliaj,esperanto
aliaj,skribis,esperanto
skribis,malgrava,esperanto
malgrava,alicio,esperanto
alicio,povis,esperanto
povis,mem,esperanto
mem,vidi,esperanto
vidi,tion,esperanto
tion,ĉar,esperanto
ĉar,ŝi,esperanto
ŝi,staris,esperanto
staris,sufiĉe,esperanto
sufiĉe,proksime,esperanto
proksime,por,esperanto
por,rigardi,esperanto
rigardi,sur,esperanto
sur,la,esperanto
la,ardezojn,esperanto
ardezojn,tamen,esperanto
tamen,tio,esperanto
tio,ne,esperanto
ne,esta,esperanto
esta,grava,esperanto
grava,ŝi,esperanto
ŝi,pensis,esperanto
pensis,en,esperanto
en,tiu,esperanto
tiu,momento,esperanto
momento,la,esperanto
la,reĝo,esperanto
reĝo,subite,esperanto
subite,ordonis,esperanto
ordonis,silenton—li,esperanto
silenton—li,ja,esperanto
ja,en,esperanto
en,la,esperanto
la,lastaj,esperanto
lastaj,minutoj,esperanto
minutoj,diligente,esperanto
diligente,skribis,esperanto
skribis,en,esperanto
en,sia,esperanto
sia,notlibro—kaj,esperanto
notlibro—kaj,nun,esperanto
nun,li,esperanto
li,legis,esperanto
legis,el,esperanto
el,tiu,esperanto
tiu,libro,esperanto
libro,regulo,esperanto
regulo,kvardekdua,esperanto
kvardekdua,neniu,esperanto
neniu,persono,esperanto
persono,kies,esperanto
kies,alteco,esperanto
alteco,superas,esperanto
superas,unu,esperanto
unu,kilometron,esperanto
kilometron,rajtas,esperanto
rajtas,resti,esperanto
resti,en,esperanto
en,la,esperanto
la,juĝejo,esperanto
juĝejo,mi,esperanto
mi,ne,esperanto
ne,havas,esperanto
havas,tian,esperanto
tian,altecon,esperanto
altecon,protestis,esperanto
protestis,alicio,esperanto
alicio,vi,esperanto
vi,havas,esperanto
havas,diris,esperanto
diris,la,esperanto
la,reĝo,esperanto
reĝo,preskaŭ,esperanto
preskaŭ,du,esperanto
du,kilometrojn,esperanto
kilometrojn,aldonis,esperanto
aldonis,la,esperanto
la,damo,esperanto
damo,nu,esperanto
nu,ĉiuokaze,esperanto
ĉiuokaze,mi,esperanto
mi,ne,esperanto
ne,volas,esperanto
volas,iri,esperanto
iri,diris,esperanto
diris,alicio,esperanto
alicio,plue,esperanto
plue,tio,esperanto
tio,ne,esperanto
ne,estas,esperanto
estas,vera,esperanto
vera,regulo,esperanto
regulo,vi,esperanto
vi,ja,esperanto
ja,ĵus,esperanto
ĵus,nun,esperanto
nun,elpensis,esperanto
elpensis,ĝin,esperanto
ĝin,kiel,esperanto
kiel,vi,esperanto
vi,kuraĝas,esperanto
kuraĝas,tion,esperanto
tion,diri,esperanto
diri,diris,esperanto
diris,la,esperanto
la,reĝo,esperanto
reĝo,ne,esperanto
ne,estas,esperanto
estas,en,esperanto
en,la,esperanto
la,libro,esperanto
libro,eĉ,esperanto
eĉ,unu,esperanto
unu,regulo,esperanto
regulo,pli,esperanto
pli,malnova,esperanto
malnova,en,esperanto
en,tiu,esperanto
tiu,okazo,esperanto
okazo,ĝi,esperanto
ĝi,devis,esperanto
devis,esti,esperanto
esti,la,esperanto
la,unua,esperanto
unua,kritikis,esperanto
kritikis,alicio,esperanto
alicio,la,esperanto
la,reĝo,esperanto
reĝo,paliĝis,esperanto
paliĝis,kaj,esperanto
kaj,tuj,esperanto
tuj,fermis,esperanto
fermis,la,esperanto
la,notlibron,esperanto
notlibron,konsideru,esperanto
konsideru,la,esperanto
la,verdikton,esperanto
verdikton,li,esperanto
li,diris,esperanto
diris,al,esperanto
al,la,esperanto
la,ĵurintoj,esperanto
ĵurintoj,per,esperanto
per,mallaŭta,esperanto
mallaŭta,trema,esperanto
trema,voĉo,esperanto
voĉo,la,esperanto
la,blanka,esperanto
blanka,kuniklo,esperanto
kuniklo,eksaltis,esperanto
eksaltis,ekscitite,esperanto
ekscitite,se,esperanto
se,plaĉas,esperanto
plaĉas,al,esperanto
al,via,esperanto
via,reĝa,esperanto
reĝa,moŝto,esperanto
moŝto,diris,esperanto
diris,li,esperanto
li,ni,esperanto
ni,ankoraŭ,esperanto
ankoraŭ,havas,esperanto
havas,pli,esperanto
pli,da,esperanto
da,evidenco,esperanto
evidenco,por,esperanto
por,aŭskulti,esperanto
aŭskulti,oni,esperanto
oni,ĵus,esperanto
ĵus,trovis,esperanto
trovis,tiun,esperanto
tiun,ĉi,esperanto
ĉi,paperon,esperanto
paperon,kion,esperanto
kion,ĝi,esperanto
ĝi,enhavas,esperanto
enhavas,demandis,esperanto
demandis,la,esperanto
la,damo,esperanto
damo,ne,esperanto
ne,ankoraŭ,esperanto
ankoraŭ,mi,esperanto
mi,malfermis,esperanto
malfermis,ĝin,esperanto
ĝin,diris,esperanto
diris,la,esperanto
la,kuniklo,esperanto
kuniklo,sed,esperanto
sed,ĝi,esperanto
ĝi,ŝajnas,esperanto
ŝajnas,esti,esperanto
esti,letero,esperanto
letero,skribita,esperanto
skribita,de,esperanto
de,la,esperanto
la,juĝato,esperanto
juĝato,al—al,esperanto
al—al,iu,esperanto
iu,nepre,esperanto
nepre,al,esperanto
al,iu,esperanto
iu,diris,esperanto
diris,la,esperanto
la,reĝo,esperanto
reĝo,escepte,esperanto
escepte,se,esperanto
se,ĝi,esperanto
ĝi,estas,esperanto
estas,skribita,esperanto
skribita,al,esperanto
al,neniu,esperanto
neniu,kaj,esperanto
kaj,ordinare,esperanto
ordinare,oni,esperanto
oni,ne,esperanto
ne,skribas,esperanto
skribas,al,esperanto
al,li,esperanto
li,al,esperanto
al,kiu,esperanto
kiu,ĝi,esperanto
ĝi,estas,esperanto
estas,adresita,esperanto
adresita,demandis,esperanto
demandis,unu,esperanto
unu,ĵurinto,esperanto
ĵurinto,ĝi,esperanto
ĝi,tute,esperanto
tute,ne,esperanto
ne,estas,esperanto
estas,adresita,esperanto
adresita,diris,esperanto
diris,la,esperanto
la,blanka,esperanto
blanka,kuniklo,esperanto
kuniklo,fakte,esperanto
fakte,nenio,esperanto
nenio,estas,esperanto
estas,skribita,esperanto
skribita,sur,esperanto
sur,la,esperanto
la,eksteraĵo,esperanto
eksteraĵo,dirante,esperanto
dirante,tion,esperanto
tion,li,esperanto
li,malfaldis,esperanto
malfaldis,la,esperanto
la,paperon,esperanto
paperon,kaj,esperanto
kaj,aldonis—,esperanto
aldonis—,post,esperanto
post,ĉio,esperanto
ĉio,dirita,esperanto
dirita,ĝi,esperanto
ĝi,ne,esperanto
ne,estas,esperanto
estas,letero,esperanto
letero,ĝi,esperanto
ĝi,estas,esperanto
estas,versaĵoj,esperanto
versaĵoj,ĉu,esperanto
ĉu,ili,esperanto
ili,estas,esperanto
estas,skribitaj,esperanto
skribitaj,per,esperanto
per,la,esperanto
la,manskribo,esperanto
manskribo,de,esperanto
de,la,esperanto
la,juĝato,esperanto
juĝato,demandis,esperanto
demandis,alia,esperanto
alia,ĵurinto,esperanto
ĵurinto,ne,esperanto
ne,respondis,esperanto
respondis,la,esperanto
la,blanka,esperanto
blanka,kuniklo,esperanto
kuniklo,kaj,esperanto
kaj,jen,esperanto
jen,la,esperanto
la,plej,esperanto
plej,nekomprenebla,esperanto
nekomprenebla,afero,esperanto
afero,ĉe,esperanto
ĉe,tio,esperanto
tio,la,esperanto
la,mienoj,esperanto
mienoj,de,esperanto
de,la,esperanto
la,tuta,esperanto
tuta,ĵurintaro,esperanto
ĵurintaro,proklamis,esperanto
proklamis,plenan,esperanto
plenan,konfuziĝon,esperanto
konfuziĝon,do,esperanto
do,li,esperanto
li,nepre,esperanto
nepre,imitis,esperanto
imitis,ies,esperanto
ies,manskribon,esperanto
manskribon,diris,esperanto
diris,la,esperanto
la,reĝo,esperanto
reĝo,la,esperanto
la,mienoj,esperanto
mienoj,de,esperanto
de,la,esperanto
la,ĵurintoj,esperanto
ĵurintoj,reheliĝis,esperanto
reheliĝis,se,esperanto
se,plaĉas,esperanto
plaĉas,al,esperanto
al,via,esperanto
via,reĝa,esperanto
reĝa,moŝto,esperanto
moŝto,diris,esperanto
diris,la,esperanto
la,juĝato,esperanto
juĝato,mem,esperanto
mem,mi,esperanto
mi,ne,esperanto
ne,skribis,esperanto
skribis,ĝin,esperanto
ĝin,kaj,esperanto
kaj,neniu,esperanto
neniu,povas,esperanto
povas,pruvi,esperanto
pruvi,ke,esperanto
ke,mi,esperanto
mi,skribis,esperanto
skribis,ĝin,esperanto
ĝin,ĝi,esperanto
ĝi,ja,esperanto
ja,ne,esperanto
ne,estas,esperanto
estas,subskribita,esperanto
subskribita,ĉe,esperanto
ĉe,la,esperanto
la,fino,esperanto
fino,se,esperanto
se,vi,esperanto
vi,ne,esperanto
ne,subskribis,esperanto
subskribis,diris,esperanto
diris,la,esperanto
la,reĝo,esperanto
reĝo,tio,esperanto
tio,nur,esperanto
nur,pligravigas,esperanto
pligravigas,la,esperanto
la,ofendon,esperanto
ofendon,vi,esperanto
vi,nepre,esperanto
nepre,intencis,esperanto
intencis,ian,esperanto
ian,friponaĵon,esperanto
friponaĵon,ĉar,esperanto
ĉar,alie,esperanto
alie,vi,esperanto
vi,certe,esperanto
certe,estus,esperanto
estus,subskribinta,esperanto
subskribinta,la,esperanto
la,paperon,esperanto
paperon,kiel,esperanto
kiel,honestulo,esperanto
honestulo,sekvis,esperanto
sekvis,universala,esperanto
universala,aklamado,esperanto
aklamado,oni,esperanto
oni,ja,esperanto
ja,sentis,esperanto
sentis,ke,esperanto
ke,tio,esperanto
tio,estas,esperanto
estas,la,esperanto
la,unua,esperanto
unua,vere,esperanto
vere,sprita,esperanto
sprita,diro,esperanto
diro,kiun,esperanto
kiun,la,esperanto
la,reĝo,esperanto
reĝo,diris,esperanto
diris,dum,esperanto
dum,la,esperanto
la,tuta,esperanto
tuta,tago,esperanto
tago,tio,esperanto
tio,pruvas,esperanto
pruvas,ke,esperanto
ke,li,esperanto
li,estas,esperanto
estas,kulpa,esperanto
kulpa,diris,esperanto
diris,la,esperanto
la,damo,esperanto
damo,ĝi,esperanto
ĝi,pruvas,esperanto
pruvas,nenion,esperanto
nenion,diris,esperanto
diris,alicio,esperanto
alicio,vi,esperanto
vi,ja,esperanto
ja,ankoraŭ,esperanto
ankoraŭ,ne,esperanto
ne,scias,esperanto
scias,ĉu,esperanto
ĉu,la,esperanto
la,versaĵoj,esperanto
versaĵoj,eĉ,esperanto
eĉ,rilatas,esperanto
rilatas,la,esperanto
la,nunan,esperanto
nunan,aferon,esperanto
aferon,legu,esperanto
legu,ilin,esperanto
ilin,la,esperanto
la,reĝo,esperanto
reĝo,ordonis,esperanto
ordonis,la,esperanto
la,blanka,esperanto
blanka,kuniklo,esperanto
kuniklo,almetis,esperanto
almetis,siajn,esperanto
siajn,okulvitrojn,esperanto
okulvitrojn,kie,esperanto
kie,vi,esperanto
vi,volas,esperanto
volas,ke,esperanto
ke,mi,esperanto
mi,komencu,esperanto
komencu,li,esperanto
li,demandis,esperanto
demandis,komencu,esperanto
komencu,ĉe,esperanto
ĉe,la,esperanto
la,komenco,esperanto
komenco,diris,esperanto
diris,la,esperanto
la,reĝo,esperanto
reĝo,solene,esperanto
solene,kaj,esperanto
kaj,daŭrigu,esperanto
daŭrigu,ĝis,esperanto
ĝis,vi,esperanto
vi,venos,esperanto
venos,al,esperanto
al,la,esperanto
la,fino,esperanto
fino,kaj,esperanto
kaj,ĉe,esperanto
ĉe,la,esperanto
la,fino,esperanto
fino,ĉesu,esperanto
ĉesu,legi,esperanto
legi,jen,esperanto
jen,la,esperanto
la,versaĵoj,esperanto
versaĵoj,kiujn,esperanto
kiujn,la,esperanto
la,blanka,esperanto
blanka,kuniklo,esperanto
kuniklo,legis,esperanto
legis,li,esperanto
li,diris,esperanto
diris,ke,esperanto
ke,vi,esperanto
vi,vidis,esperanto
vidis,ŝin,esperanto
ŝin,kaj,esperanto
kaj,nomis,esperanto
nomis,min,esperanto
min,ĉe,esperanto
ĉe,li,esperanto
li,ho,esperanto
ho,ŝi,esperanto
ŝi,laŭdis,esperanto
laŭdis,min,esperanto
min,atentu,esperanto
atentu,ĝin,esperanto
ĝin,sed,esperanto
sed,ne,esperanto
ne,pri,esperanto
pri,la,esperanto
la,talio,esperanto
talio,anoncis,esperanto
anoncis,li,esperanto
li,ke,esperanto
ke,restos,esperanto
restos,mi,esperanto
mi,ĉi,esperanto
ĉi,tie—ni,esperanto
tie—ni,ĝin,esperanto
ĝin,sciis,esperanto
sciis,se,esperanto
se,la,esperanto
la,aferon,esperanto
aferon,puŝos,esperanto
puŝos,ŝi,esperanto
ŝi,ho,esperanto
ho,ve,esperanto
ve,al,esperanto
al,mi,esperanto
mi,vi,esperanto
vi,kriis,esperanto
kriis,al,esperanto
al,ŝi,esperanto
ŝi,nur,esperanto
nur,unu,esperanto
unu,du,esperanto
du,al,esperanto
al,li,esperanto
li,tri,esperanto
tri,kvar,esperanto
kvar,al,esperanto
al,ni,esperanto
ni,li,esperanto
li,donis,esperanto
donis,sed,esperanto
sed,ĉiuj,esperanto
ĉiuj,venis,esperanto
venis,re,esperanto
re,al,esperanto
al,vi,esperanto
vi,li,esperanto
li,tion,esperanto
tion,ne,esperanto
ne,oponis,esperanto
oponis,se,esperanto
se,mi,esperanto
mi,aŭ,esperanto
aŭ,ŝi,esperanto
ŝi,en,esperanto
en,tio,esperanto
tio,ĉi,esperanto
ĉi,kulpiĝus,esperanto
kulpiĝus,li,esperanto
li,tre,esperanto
tre,fida,esperanto
fida,ke,esperanto
ke,igos,esperanto
igos,nin,esperanto
nin,liberaj,esperanto
liberaj,vi,esperanto
vi,kiel,esperanto
kiel,nin,esperanto
nin,vi,esperanto
vi,nun,esperanto
nun,vidas,esperanto
vidas,supozis,esperanto
supozis,mi,esperanto
mi,ke,esperanto
ke,estis,esperanto
estis,vi,esperanto
vi,malhelpo,esperanto
malhelpo,al,esperanto
al,la,esperanto
la,planoj,esperanto
planoj,dolor,esperanto
dolor,vi,esperanto
vi,for,esperanto
for,ekkriis,esperanto
ekkriis,ŝi,esperanto
ŝi,de,esperanto
de,ni,esperanto
ni,kaj,esperanto
kaj,ĝi—pri,esperanto
ĝi—pri,ranoj,esperanto
ranoj,ne,esperanto
ne,sciu,esperanto
sciu,li,esperanto
li,pri,esperanto
pri,ŝia,esperanto
ŝia,ŝat,esperanto
ŝat,ĉar,esperanto
ĉar,tiu,esperanto
tiu,devas,esperanto
devas,esti,esperanto
esti,sekreta—kiel,esperanto
sekreta—kiel,diplomat,esperanto
diplomat,ĉu,esperanto
ĉu,vi,esperanto
vi,ne,esperanto
ne,volas,esperanto
volas,resti,esperanto
resti,jen,esperanto
jen,la,esperanto
la,plej,esperanto
plej,grava,esperanto
grava,evidencaĵo,esperanto
evidencaĵo,kiun,esperanto
kiun,ni,esperanto
ni,ĝis,esperanto
ĝis,nun,esperanto
nun,aŭskultis,esperanto
aŭskultis,diris,esperanto
diris,kontente,esperanto
kontente,la,esperanto
la,reĝo,esperanto
reĝo,kaj,esperanto
kaj,frotis,esperanto
frotis,al,esperanto
al,si,esperanto
si,la,esperanto
la,manojn,esperanto
manojn,nun,esperanto
nun,do,esperanto
do,la,esperanto
la,ĵurintoj,esperanto
ĵurintoj,konsid,esperanto
konsid,se,esperanto
se,iu,esperanto
iu,el,esperanto
el,ili,esperanto
ili,povos,esperanto
povos,klarigi,esperanto
klarigi,ĝin,esperanto
ĝin,diris,esperanto
diris,alicio—ŝi,esperanto
alicio—ŝi,en,esperanto
en,la,esperanto
la,lastaj,esperanto
lastaj,minutoj,esperanto
minutoj,tiom,esperanto
tiom,grandiĝis,esperanto
grandiĝis,ke,esperanto
ke,ŝi,esperanto
ŝi,jam,esperanto
jam,ne,esperanto
ne,timis,esperanto
timis,interrompi,esperanto
interrompi,eĉ,esperanto
eĉ,la,esperanto
la,reĝon,esperanto
reĝon,mem—mi,esperanto
mem—mi,donacos,esperanto
donacos,al,esperanto
al,li,esperanto
li,ses,esperanto
ses,pencojn,esperanto
pencojn,250sd,esperanto
250sd,mi,esperanto
mi,mem,esperanto
mem,kredas,esperanto
kredas,ke,esperanto
ke,enestas,esperanto
enestas,en,esperanto
en,ĝi,esperanto
ĝi,eĉ,esperanto
eĉ,ne,esperanto
ne,unu,esperanto
unu,ero,esperanto
ero,da,esperanto
da,racia,esperanto
racia,signifo,esperanto
signifo,ĉiuj,esperanto
ĉiuj,ĵurintoj,esperanto
ĵurintoj,elskribis,esperanto
elskribis,sur,esperanto
sur,la,esperanto
la,ardezoj,esperanto
ardezoj,ke,esperanto
ke,ŝi,esperanto
ŝi,kredas,esperanto
kredas,ke,esperanto
ke,enestas,esperanto
enestas,eĉ,esperanto
eĉ,ne,esperanto
ne,unu,esperanto
unu,ero,esperanto
ero,da,esperanto
da,signifo,esperanto
signifo,sed,esperanto
sed,neniu,esperanto
neniu,el,esperanto
el,ili,esperanto
ili,malgraŭ,esperanto
malgraŭ,la,esperanto
la,oferita,esperanto
oferita,premio,esperanto
premio,penis,esperanto
penis,klarigi,esperanto
klarigi,la,esperanto
la,versojn,esperanto
versojn,se,esperanto
se,enestas,esperanto
enestas,nenia,esperanto
nenia,signifo,esperanto
signifo,diris,esperanto
diris,la,esperanto
la,reĝo,esperanto
reĝo,tio,esperanto
tio,ja,esperanto
ja,ŝparos,esperanto
ŝparos,al,esperanto
al,ni,esperanto
ni,multe,esperanto
multe,da,esperanto
da,ĝeno,esperanto
ĝeno,ĉar,esperanto
ĉar,signifojn,esperanto
signifojn,ni,esperanto
ni,ne,esperanto
ne,bezonas,esperanto
bezonas,serĉi,esperanto
serĉi,tamen,esperanto
tamen,mi,esperanto
mi,ne,esperanto
ne,estas,esperanto
estas,certa,esperanto
certa,li,esperanto
li,daŭrigis,esperanto
daŭrigis,etendante,esperanto
etendante,la,esperanto
la,versojn,esperanto
versojn,sur,esperanto
sur,la,esperanto
la,genuo,esperanto
genuo,kaj,esperanto
kaj,kritike,esperanto
kritike,per,esperanto
per,unu,esperanto
unu,okulo,esperanto
okulo,rigardante,esperanto
rigardante,ilin,esperanto
ilin,mi,esperanto
mi,malgraŭ,esperanto
malgraŭ,ĉio,esperanto
ĉio,komencas,esperanto
komencas,trovi,esperanto
trovi,en,esperanto
en,ili,esperanto
ili,ian,esperanto
ian,signifon,esperanto
signifon,sed,esperanto
sed,ne,esperanto
ne,pri,esperanto
pri,la,esperanto
la,talio,esperanto
talio,nur,esperanto
nur,rigardante,esperanto
rigardante,la,esperanto
la,juĝaton,esperanto
juĝaton,oni,esperanto
oni,tuj,esperanto
tuj,komprenas,esperanto
komprenas,kial,esperanto
kial,ŝi,esperanto
